Tipo de Papel;Tamanho;Quantidade de Pacotes;Folhas por Pacote;Total de Folhas;Estoque Mínimo
Papel fotográfico matte 230g/m² Masterprint;A4;3;100;295;100
Papel fotográfico matte 220g/m² dupla faca Masterprint;A4;2;100;200;100
Papel fotográfico matte 170g/m² Masterprint;A4;3;100;295;100
Papel fotográfico matte 108g/m² Masterprint;A4;5;100;495;100
Papel fotográfico glossy 180g/m² Masterprint;A4;2;50;95;50
Papel fotográfico glossy auto adesivo 180g/m² Masterprint;A4;2;50;95;50
Filme adesivo vinil transparente 150g/m² Masterprint;A4;2;10;15;10
Papel fotográfico matte auto adesivo 108g/m² Masterprint;A4;4;20;75;20
Papel Cartão 180g/m² Jandaia;A4;1;50;45;50
Papel Offset A4 240g/m² Off Paper;A4;1;50;45;50
Papel Linho Branco A4 180g/m² Off Paper;A4;1;50;45;50
Papel Kraft Natural A4 180g/m² Usapel;A4;1;50;45;50
Papel Especial Perolizado Champanhe Rose A4 180g/m² Masterprint;A4;1;20;15;20
Papel Especial Perolizado Champanhe Rose A4 180g/m² Usapel;A4;1;30;25;30
Papel Vergê Branco A4 180g/m² Off Paper;A4;1;50;45;50
Papel Casca de Ovo Branco A4 180g/m² Off Paper;A4;1;50;45;50
Papel Vergê Creme A4 180g/m² Usapel;A4;1;50;45;50
Papel Casca de Ovo Palha A4 180g/m² Off Paper;A4;1;50;45;50
Papel Reciclato Natural A4 180g/m² Dritter;A4;1;50;45;50
Filme Adesivo Vinil Branco A4 135g/m² Masterprint;A4;1;10;5;10
Papel fotográfico glossy textura pérola A4 200g/m² Masterprint;A4;2;20;40;20
Papel fotográfico glossy textura couro A4 200g/m² Masterprint;A4;2;20;40;20
Papel fotográfico glossy dupla face A4 180g/m² Masterprint;A4;2;20;35;20
Filme Adesivo Transparente A4 150g/m² Masterprint;A4;1;10;5;10
